Customer ID,Order Date,Ship Date,Ship Mode,Product ID,Category,Sub-Category,Product Name,Price
CG-12520,11/8/2016,11/11/2016,Second Class,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,1091
DV-13045,11/8/2016,11/11/2016,Second Class,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2979
CM-12655,6/12/2016,6/16/2016,Second Class,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,1289
AS-10240,10/11/2015,10/18/2015,Standard Class,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1002
HE-14800,10/11/2015,10/18/2015,Standard Class,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,3068
CG-12521,6/9/2014,6/14/2014,Standard Class,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",1480
DV-13046,6/9/2014,6/14/2014,Standard Class,OFF-AR-10002833,Office Supplies,Art,Newell 322,1345
CM-12656,6/9/2014,6/14/2014,Standard Class,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,4109
AS-10241,6/9/2014,6/14/2014,Standard Class,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,2532
HE-14801,6/9/2014,6/14/2014,Standard Class,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,1328
CG-12522,6/9/2014,6/14/2014,Standard Class,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,3165
DV-13047,6/9/2014,6/14/2014,Standard Class,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,3656
CM-12657,4/15/2017,4/20/2017,Standard Class,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,4781
AS-10242,12/5/2016,12/10/2016,Standard Class,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,4131
HE-14802,11/22/2015,11/26/2015,Standard Class,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4932
CG-12523,11/22/2015,11/26/2015,Standard Class,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2283
DV-13048,11/11/2014,11/18/2014,Standard Class,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",4940
CM-12658,5/13/2014,5/15/2014,Second Class,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,3778
AS-10243,8/27/2014,9/1/2014,Second Class,OFF-AR-10003056,Office Supplies,Art,Newell 341,2140
HE-14803,8/27/2014,9/1/2014,Second Class,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,4376
CG-12524,8/27/2014,9/1/2014,Second Class,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",4298
DV-13049,12/9/2016,12/13/2016,Standard Class,OFF-AR-10000246,Office Supplies,Art,Newell 318,1931
CM-12659,12/9/2016,12/13/2016,Standard Class,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",1314
AS-10244,7/16/2017,7/18/2017,Second Class,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",4984
HE-14804,9/25/2015,9/30/2015,Standard Class,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1183
CG-12525,1/16/2016,1/20/2016,Second Class,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,2719
DV-13050,1/16/2016,1/20/2016,Second Class,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,4847
CM-12660,9/17/2015,9/21/2015,Standard Class,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1412
AS-10245,9/17/2015,9/21/2015,Standard Class,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,3527
HE-14805,9/17/2015,9/21/2015,Standard Class,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2092
CG-12526,9/17/2015,9/21/2015,Standard Class,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,2533
DV-13051,9/17/2015,9/21/2015,Standard Class,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",3593
CM-12661,9/17/2015,9/21/2015,Standard Class,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",3267
AS-10246,9/17/2015,9/21/2015,Standard Class,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,1050
HE-14806,10/19/2017,10/23/2017,Second Class,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,1192
CG-12527,12/8/2016,12/10/2016,First Class,TEC-PH-10004977,Technology,Phones,GE 30524EE4,4448
DV-13052,12/8/2016,12/10/2016,First Class,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",4365
CM-12662,12/27/2015,12/31/2015,Standard Class,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",1346
AS-10247,12/27/2015,12/31/2015,Standard Class,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4151
HE-14807,12/27/2015,12/31/2015,Standard Class,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",2156
CG-12528,12/27/2015,12/31/2015,Standard Class,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,2413
DV-13053,9/10/2017,9/15/2017,Standard Class,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,3294
CM-12663,7/17/2016,7/22/2016,Standard Class,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",1470
AS-10248,9/19/2017,9/23/2017,Standard Class,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2577
HE-14808,3/11/2016,3/13/2016,First Class,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2728
CG-12529,3/11/2016,3/13/2016,First Class,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,1948
DV-13054,10/20/2014,10/25/2014,Second Class,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",1438
CM-12664,6/20/2016,6/25/2016,Standard Class,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,4018
AS-10249,6/20/2016,6/25/2016,Standard Class,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",3242
HE-14809,4/18/2015,4/22/2015,Standard Class,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",2206
CG-12530,4/18/2015,4/22/2015,Standard Class,OFF-LA-10002762,Office Supplies,Labels,Avery 485,4150
DV-13055,4/18/2015,4/22/2015,Standard Class,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,2152
CM-12665,4/18/2015,4/22/2015,Standard Class,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",2705
AS-10250,12/11/2016,12/17/2016,Standard Class,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,1249
HE-14810,12/11/2016,12/17/2016,Standard Class,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,4939
CG-12531,6/17/2016,6/18/2016,First Class,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,2057
DV-13056,6/17/2016,6/18/2016,First Class,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,3358
CM-12666,6/17/2016,6/18/2016,First Class,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,2308
AS-10251,6/17/2016,6/18/2016,First Class,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",2968
HE-14811,6/17/2016,6/18/2016,First Class,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3214
CG-12532,6/17/2016,6/18/2016,First Class,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,4670
DV-13057,6/17/2016,6/18/2016,First Class,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,2811
CM-12667,11/24/2015,11/30/2015,Standard Class,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2464
AS-10252,11/24/2015,11/30/2015,Standard Class,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",3738
HE-14812,11/24/2015,11/30/2015,Standard Class,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,2689
CG-12533,11/24/2015,11/30/2015,Standard Class,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,2821
DV-13058,4/30/2015,5/5/2015,Standard Class,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",2867
CM-12668,12/5/2014,12/10/2014,Standard Class,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",4207
AS-10253,12/5/2014,12/10/2014,Standard Class,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,2172
HE-14813,6/4/2016,6/6/2016,First Class,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2007
CG-12534,9/18/2016,9/23/2016,Standard Class,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,3625
DV-13059,9/14/2017,9/17/2017,Second Class,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3160
CM-12669,4/26/2015,5/2/2015,Standard Class,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,3899
AS-10254,4/26/2015,5/2/2015,Standard Class,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",3429
HE-14814,4/26/2015,5/2/2015,Standard Class,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,3375
CG-12535,12/9/2017,12/11/2017,First Class,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1668
DV-13060,12/9/2017,12/11/2017,First Class,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",3450
CM-12670,12/9/2017,12/11/2017,First Class,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",4075
AS-10255,11/26/2014,12/1/2014,Second Class,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",3957
HE-14815,6/12/2016,6/15/2016,First Class,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1326
CG-12536,6/12/2016,6/15/2016,First Class,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,2195
DV-13061,10/12/2014,10/16/2014,Standard Class,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",1341
CM-12671,10/12/2014,10/16/2014,Standard Class,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",4998
AS-10256,9/3/2015,9/8/2015,Standard Class,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,4623
HE-14816,11/13/2017,11/16/2017,First Class,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,2375
CG-12537,5/28/2017,5/30/2017,Second Class,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,1549
DV-13062,10/26/2017,11/2/2017,Standard Class,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,2721
CM-12672,10/26/2017,11/2/2017,Standard Class,OFF-LA-10000134,Office Supplies,Labels,Avery 511,4825
AS-10257,4/5/2016,4/10/2016,Second Class,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,3874
HE-14817,9/17/2016,9/22/2016,Standard Class,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,1103
CG-12538,9/17/2016,9/22/2016,Standard Class,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,3207
DV-13063,9/17/2016,9/22/2016,Standard Class,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,4358
CM-12673,1/31/2015,2/5/2015,Second Class,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,4671
AS-10258,1/31/2015,2/5/2015,Second Class,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",3058
HE-14818,1/31/2015,2/5/2015,Second Class,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,1473
CG-12539,11/6/2017,11/12/2017,Standard Class,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,2127
DV-13064,11/9/2017,11/11/2017,Second Class,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,1918
CM-12674,6/17/2017,6/20/2017,First Class,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,3606
AS-10259,9/6/2016,9/11/2016,Standard Class,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,3596
HE-14819,8/29/2016,9/2/2016,Standard Class,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,1291
CG-12540,8/29/2016,9/2/2016,Standard Class,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,4228
DV-13065,8/29/2016,9/2/2016,Standard Class,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,2415
CM-12675,12/1/2016,12/4/2016,Second Class,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),3454
AS-10260,11/13/2015,11/17/2015,Standard Class,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,1712
HE-14820,11/13/2015,11/17/2015,Standard Class,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",1983
CG-12541,11/13/2015,11/17/2015,Standard Class,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",1749
DV-13066,11/23/2017,11/28/2017,Standard Class,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,4788
CM-12676,11/23/2017,11/28/2017,Standard Class,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,3651
AS-10261,11/23/2017,11/28/2017,Standard Class,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,1340
HE-14821,10/15/2015,10/20/2015,Standard Class,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,1962
CG-12542,12/25/2017,12/30/2017,Standard Class,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,2904
DV-13067,11/3/2016,11/10/2016,Standard Class,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",1211
CM-12677,11/3/2016,11/10/2016,Standard Class,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",1098
AS-10262,8/25/2014,8/27/2014,Second Class,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",3210
HE-14822,8/25/2014,8/27/2014,Second Class,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4669
CG-12543,8/25/2014,8/27/2014,Second Class,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,1641
DV-13068,8/25/2014,8/27/2014,Second Class,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",3702
CM-12678,3/2/2015,3/6/2015,Standard Class,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,1132
AS-10263,4/5/2015,4/10/2015,Standard Class,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,2365
HE-14823,6/12/2016,6/15/2016,First Class,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,1783
CG-12544,6/12/2016,6/15/2016,First Class,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,2406
DV-13069,6/12/2016,6/15/2016,First Class,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",1775
CM-12679,6/12/2016,6/15/2016,First Class,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,2528
AS-10264,6/12/2016,6/15/2016,First Class,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,1822
HE-14824,12/26/2014,12/28/2014,Second Class,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,3974
CG-12545,9/20/2014,9/25/2014,Standard Class,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,2161
DV-13070,11/5/2017,11/12/2017,Standard Class,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",1053
CM-12680,11/5/2017,11/12/2017,Standard Class,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",2916
AS-10265,11/6/2016,11/10/2016,Second Class,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",2276
HE-14825,11/6/2016,11/10/2016,Second Class,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,3685
CG-12546,2/2/2017,2/5/2017,First Class,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,2683
DV-13071,2/2/2017,2/5/2017,First Class,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,3390
CM-12681,2/2/2017,2/5/2017,First Class,OFF-FA-10002780,Office Supplies,Fasteners,Staples,4776
AS-10266,10/13/2016,10/19/2016,Standard Class,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,1922
HE-14826,10/13/2016,10/19/2016,Standard Class,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,2376
CG-12547,10/13/2016,10/19/2016,Standard Class,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",1869
DV-13072,10/13/2016,10/19/2016,Standard Class,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,3117
CM-12682,10/13/2016,10/19/2016,Standard Class,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,4437
AS-10267,10/13/2016,10/19/2016,Standard Class,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,2159
HE-14827,10/13/2016,10/19/2016,Standard Class,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,3076
CG-12548,9/5/2016,9/7/2016,Second Class,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2899
DV-13073,9/18/2017,9/23/2017,Standard Class,OFF-AR-10000940,Office Supplies,Art,Newell 343,3824
CM-12683,9/18/2017,9/23/2017,Standard Class,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,1677
AS-10268,9/18/2017,9/23/2017,Standard Class,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,2950
HE-14828,12/22/2017,12/27/2017,Standard Class,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,2210
CG-12549,9/7/2015,9/12/2015,Standard Class,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,4517
DV-13074,10/22/2014,10/28/2014,Standard Class,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",2022
CM-12684,12/5/2016,12/9/2016,Standard Class,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,4354
AS-10269,12/5/2016,12/9/2016,Standard Class,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,1598
HE-14829,12/5/2016,12/9/2016,Standard Class,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",4731
CG-12550,12/5/2016,12/9/2016,Standard Class,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,4291
DV-13075,3/13/2016,3/16/2016,First Class,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,2826
CM-12685,3/13/2016,3/16/2016,First Class,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,3907
AS-10270,5/31/2015,6/2/2015,First Class,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,1501
HE-14830,5/31/2015,6/2/2015,First Class,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,2917
CG-12551,5/31/2015,6/2/2015,First Class,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",3663
DV-13076,5/28/2015,6/3/2015,Standard Class,OFF-AR-10001547,Office Supplies,Art,Newell 311,4767
CM-12686,3/1/2014,3/6/2014,Second Class,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,4858
AS-10271,11/20/2016,11/24/2016,Standard Class,OFF-LA-10002475,Office Supplies,Labels,Avery 519,4967
HE-14831,11/20/2016,11/24/2016,Standard Class,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,3091
CG-12552,5/11/2016,5/12/2016,First Class,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,3498
